Id,Account,Date,Attitude,Text
735983579885232131,@HillaryClinton,Thu May 26 23:58:54 +0000 2016,:),RT @HillaryClinton: Couldn't agree more. https://t.co/gfk8NWAhIY
735983579444940800,@HillaryClinton,Thu May 26 23:58:53 +0000 2016,:),"@HillaryClinton The key to that, from your point of view, is for women not to murder them. Something you seem to take joy in &amp; celebrate."
735983574109851648,@HillaryClinton,Thu May 26 23:58:52 +0000 2016,:),@CarlyFiorina @HillaryClinton Hard to believe that the private server was a naïve mistake. These things are done as part of a master plan.
735983571614081024,@HillaryClinton,Thu May 26 23:58:52 +0000 2016,:),RT @HillaryClinton: Couldn't agree more. https://t.co/gfk8NWAhIY
735983570293035008,@HillaryClinton,Thu May 26 23:58:51 +0000 2016,:),RT @Braveheart_USA: To be clear @HillaryClinton how is not cooperating with the @FBI email investigation  considered cooperating? https://t…
735983568778825728,@HillaryClinton,Thu May 26 23:58:51 +0000 2016,:),RT @Pen_Air: Let's have a look on foundation donors of @HillaryClinton! https://t.co/EKMjL4fch1
735983565515591680,@HillaryClinton,Thu May 26 23:58:50 +0000 2016,:),The Honorable @DavidChiu @LondonBreed @austininthecity and @fionama revving up the SF crowd @HillaryClinton rally! https://t.co/2xAIAkUnAN
735983559832281089,@HillaryClinton,Thu May 26 23:58:49 +0000 2016,:),@HillaryClinton  why do you do this I hope trump wins why you always ling your cold harted
735983559794511872,@HillaryClinton,Thu May 26 23:58:49 +0000 2016,:),@mitchellvii @travelervt @HillaryClinton @Madam_President @youngdems https://t.co/TlNcR4uNJj
735983559731712001,@HillaryClinton,Thu May 26 23:58:49 +0000 2016,:),RT @HillaryPix: #ImWithHer #HillaryClinton #FeelTheBern #ShesWithUs @HillaryClinton #HRCIsOurNominee @Darcman @Arthur59611540 https://t.co/…
735983544065892352,@HillaryClinton,Thu May 26 23:58:45 +0000 2016,:),@WakeUpMFers @HillaryClinton rapist should be in jail
735983538940575744,@HillaryClinton,Thu May 26 23:58:44 +0000 2016,:),"@HillaryClinton What about shifting support to people who make minimum wage, instead of people who rather stay home and able to work."
